gene_id	gene_description	pathway	topic_ecosystem	category	subcategory	note	reference
GT4	GT4 sucrose synthase (EC 2.4.1.13); sucrose-phosphate synthase (EC 2.4.1.14); alpha-glucosyltransferase (EC 2.4.1.52); lipopolysaccharide N-acetylglucosaminyltransferase (EC 2.4.1.56); phosphatidylinositol alpha-mannosyltransferase (EC 2.4.1.57); GDP-Man: Man1GlcNAc2-PP-dolichol alpha-1,3-mannosyltransferase (EC 2.4.1.132); GDP-Man: Man3GlcNAc2-PP-dolichol/Man4GlcNAc2-PP-dolichol alpha-1,2-mannosyltransferase (EC 2.4.1.131); digalactosyldiacylglycerol synthase (EC 2.4.1.141); 1,2-diacylglycerol 3-glucosyltransferase (EC 2.4.1.157); diglucosyl diacylglycerol synthase (EC 2.4.1.208); trehalose phosphorylase (EC 2.4.1.231); NDP-Glc: alpha-glucose alpha-glucosyltransferase / alpha,alpha-trehalose synthase (EC 2.4.1.245); GDP-Man: Man2GlcNAc2-PP-dolichol alpha-1,6-mannosyltransferase (EC 2.4.1.257); UDP-GlcNAc: 2-deoxystreptamine alpha-N-acetylglucosaminyltransferase (EC 2.4.1.283); UDP-GlcNAc: ribostamycin alpha-N-acetylglucosaminyltransferase (EC 2.4.1.285); UDP-Gal alpha-galactosyltransferase (EC 2.4.1.-); UDP-Xyl alpha-xylosyltransferase (EC 2.4.2.-); UDP-GlcA alpha-glucuronyltransferase (EC 2.4.1.-); UDP-Glc alpha-glucosyltransferase (EC 2.4.1.-); UDP-GalNAc: GalNAc-PP-Und alpha-1,3-N-acetylgalactosaminyltransferase (EC 2.4.1.306); UDP-GalNAc: N,N'-diacetylbacillosaminyl-PP-Und alpha-1,3-N-acetylgalactosaminyltransferase (EC 2.4.1.290); ADP-dependent alpha-maltose-1-phosphate synthase (2.4.1.342)		ag	Carbon Processing	Sugar utilization	Glycosyl Transferase	
GT7	GT7 lactose synthase (EC 2.4.1.22); beta-N-acetylglucosaminyl-glycopeptide beta-1,4-galactosyltransferase (EC 2.4.1.38); N-acetyllactosamine synthase (EC 2.4.1.90); xylosylprotein beta-4-galactosyltransferase (EC 2.4.1.133); UDP-Gal: neolactotriaosylceramide beta-1,4-galactosyltransferase (EC 2.4.1.275); beta-1,4-N-acetylglucosaminyltransferase (EC 2.4.1.-)		ag	Carbon Processing	Sugar utilization	Glycosyl Transferase	
GT83	GT83 undecaprenyl phosphate-alpha-L-Ara4N: 4-amino-4-deoxy-beta-L-arabinosyltransferase (EC 2.4.2.43); dodecaprenyl phosphate-beta-galacturonic acid: lipopolysaccharide core alpha-galacturonosyl transferase (EC 2.4.1.-)		ag	Carbon Processing	Sugar utilization	Glycosyl Transferase	
PL27	PL27 L-rhamnose-alpha-1,4-D-glucuronate lyase (EC 4.2.2.-)		ag	Carbon Processing	Sugar utilization	Rhamnose	
K10108	malE; maltose/maltodextrin transport system substrate-binding protein		ag	Carbon Processing	Sugar utilization	Maltose	
K10109	malF; maltose/maltodextrin transport system permease protein		ag	Carbon Processing	Sugar utilization	Maltose	
K10110	malG; maltose/maltodextrin transport system permease protein		ag	Carbon Processing	Sugar utilization	Maltose	
K10111	malK; maltose/maltodextrin transport system ATP-binding protein [EC:3.6.3.19]		ag	Carbon Processing	Sugar utilization	Maltose	
K10112	msmX; maltose/maltodextrin transport system ATP-binding protein		ag	Carbon Processing	Sugar utilization	Maltose	
K10188	lacE; lactose/L-arabinose transport system substrate-binding protein		ag	Carbon Processing	Sugar utilization	Lactose	
K10189	lacF; lactose/L-arabinose transport system permease protein		ag	Carbon Processing	Sugar utilization	Lactose	
K10190	lacG; lactose/L-arabinose transport system permease protein		ag	Carbon Processing	Sugar utilization	Lactose	
K10191	lacK; lactose/L-arabinose transport system ATP-binding protein		ag	Carbon Processing	Sugar utilization	Lactose	
K10196	ABC.GLC.S; glucose/arabinose transport system substrate-binding protein		ag	Carbon Processing	Sugar utilization	Glucose	
K10197	ABC.GLC.P; glucose/arabinose transport system permease protein		ag	Carbon Processing	Sugar utilization	Glucose	
K10198	ABC.GLC.P1; glucose/arabinose transport system permease protein		ag	Carbon Processing	Sugar utilization	Glucose	
K10199	ABC.GLC.A; glucose/arabinose transport system ATP-binding protein		ag	Carbon Processing	Sugar utilization	Glucose	
K10236	thuE; trehalose/maltose transport system substrate-binding protein		ag	Carbon Processing	Sugar utilization	Trehalose	
K10237	thuF; trehalose/maltose transport system permease protein		ag	Carbon Processing	Sugar utilization	Trehalose	
K10238	thuG; trehalose/maltose transport system permease protein		ag	Carbon Processing	Sugar utilization	Trehalose	
K10439	rbsB; ribose transport system substrate-binding protein		ag	Carbon Processing	Sugar utilization	Ribose	
K10440	rbsC; ribose transport system permease protein		ag	Carbon Processing	Sugar utilization	Ribose	
K10441	rbsA; ribose transport system ATP-binding protein [EC:3.6.3.17]		ag	Carbon Processing	Sugar utilization	Ribose	
K10543	xylF; D-xylose transport system substrate-binding protein		ag	Carbon Processing	Sugar utilization	Xylose	
K10544	xylH; D-xylose transport system permease protein		ag	Carbon Processing	Sugar utilization	Xylose	
K10545	xylG; D-xylose transport system ATP-binding protein [EC:3.6.3.17]		ag	Carbon Processing	Sugar utilization	Xylose	
K10552	frcB; fructose transport system substrate-binding protein		ag	Carbon Processing	Sugar utilization	Fructose	
K10553	frcC; fructose transport system permease protein		ag	Carbon Processing	Sugar utilization	Fructose	
K10554	frcA; fructose transport system ATP-binding protein		ag	Carbon Processing	Sugar utilization	Fructose	
K10559	rhaS1; rhamnose transport system substrate-binding protein		ag	Carbon Processing	Sugar utilization	Rhamnose	
K10560	rhaP; rhamnose transport system permease protein		ag	Carbon Processing	Sugar utilization	Rhamnose	
K10561	rhaQ; rhamnose transport system permease protein		ag	Carbon Processing	Sugar utilization	Rhamnose	
K10562	rhaT; rhamnose transport system ATP-binding protein [EC:3.6.3.17]		ag	Carbon Processing	Sugar utilization	Rhamnose	
K02777	PTS-Glc-EIIA; PTS system, glucose-specific IIA component		ag	Carbon Processing	Sugar utilization	Glucose	
K02778	PTS-Glc-EIIB; PTS system, glucose-specific IIB component		ag	Carbon Processing	Sugar utilization	Glucose	
K02779	PTS-Glc-EIIC; PTS system, glucose-specific IIC component		ag	Carbon Processing	Sugar utilization	Glucose	
K02790	PTS-MalGlc-EIIB; PTS system, maltose/glucose-specific IIB component		ag	Carbon Processing	Sugar utilization	Maltose	
K02791	PTS-MalGlc-EIIC; PTS system, maltose/glucose-specific IIC component		ag	Carbon Processing	Sugar utilization	Maltose	
K02808	PTS-Scr-EIIA; PTS system, sucrose-specific IIA component		ag	Carbon Processing	Sugar utilization	Sucrose	
K02809	PTS-Scr-EIIB; PTS system, sucrose-specific IIB component		ag	Carbon Processing	Sugar utilization	Sucrose	
K02810	PTS-Scr-EIIC; PTS system, sucrose-specific IIC component		ag	Carbon Processing	Sugar utilization	Sucrose	
K02817	PTS-Tre-EIIA; PTS system, trehalose-specific IIA component		ag	Carbon Processing	Sugar utilization	Trehalose	
K02818	PTS-Tre-EIIB; PTS system, trehalose-specific IIB component		ag	Carbon Processing	Sugar utilization	Trehalose	
K02819	PTS-Tre-EIIC; PTS system, trehalose-specific IIC component		ag	Carbon Processing	Sugar utilization	Trehalose	
K02768	PTS-Fru-EIIA; PTS system, fructose-specific IIA component		ag	Carbon Processing	Sugar utilization	Fructose	
K02769	PTS-Fru-EIIB; PTS system, fructose-specific IIB component		ag	Carbon Processing	Sugar utilization	Fructose	
K02770	PTS-Fru-EIIC; PTS system, fructose-specific IIC component		ag	Carbon Processing	Sugar utilization	Fructose	
K02793	PTS-Man-EIIA; PTS system, mannose-specific IIA component		ag	Carbon Processing	Sugar utilization	Mannose	
K02786	PTS-Lac-EIIA; PTS system, lactose-specific IIA component		ag	Carbon Processing	Sugar utilization	Lactose	
K02787	PTS-Lac-EIIB; PTS system, lactose-specific IIB component		ag	Carbon Processing	Sugar utilization	Lactose	
K02788	PTS-Lac-EIIC; PTS system, lactose-specific IIC component		ag	Carbon Processing	Sugar utilization	Lactose	
K11194	PTS-Fru1-EIIA; PTS system, fructose-specific IIA component		ag	Carbon Processing	Sugar utilization	Fructose	
K11195	PTS-Fru1-EIIB; PTS system, fructose-specific IIB component		ag	Carbon Processing	Sugar utilization	Fructose	
K11196	PTS-Fru1-EIIC; PTS system, fructose-specific IIC component		ag	Carbon Processing	Sugar utilization	Fructose	
K02771	PTS-Fru1-EIID; PTS system, fructose-specific IID component		ag	Carbon Processing	Sugar utilization	Fructose	
K11201	PTS-Fru2-EIIA; PTS system, fructose-specific IIA-like component		ag	Carbon Processing	Sugar utilization	Fructose	
K11202	PTS-Fru2-EIIB; PTS system, fructose-specific IIB-like component		ag	Carbon Processing	Sugar utilization	Fructose	
K11203	PTS-Fru2-EIIC; PTS system, fructose-specific IIC-like component		ag	Carbon Processing	Sugar utilization	Fructose	
K17311	K17311; trehalose transport system substrate-binding protein		ag	Carbon Processing	Sugar utilization	Trehalose	
K17312	K17312; trehalose transport system permease protein		ag	Carbon Processing	Sugar utilization	Trehalose	
K17313	treU; trehalose transport system permease protein		ag	Carbon Processing	Sugar utilization	Trehalose	
K17314	treV; trehalose transport system ATP-binding protein		ag	Carbon Processing	Sugar utilization	Trehalose	
K17315	gtsA; glucose/mannose transport system substrate-binding protein		ag	Carbon Processing	Sugar utilization	Glucose	
K17316	gtsB; glucose/mannose transport system permease protein		ag	Carbon Processing	Sugar utilization	Glucose	
K17317	gtsC; glucose/mannose transport system permease protein		ag	Carbon Processing	Sugar utilization	Glucose	
K19506	PTS-Gfr-EIIA; PTS system, fructoselysine/glucoselysine-specific IIA component		ag	Carbon Processing	Sugar utilization	Fructose	
K19507	PTS-Gfr-EIIB; PTS system, fructoselysine/glucoselysine-specific IIB component		ag	Carbon Processing	Sugar utilization	Fructose	
K19508	PTS-Gfr-EIIC; PTS system, fructoselysine/glucoselysine-specific IIC component		ag	Carbon Processing	Sugar utilization	Fructose	
K19509	PTS-Gfr-EIID; PTS system, fructoselysine/glucoselysine-specific IID component		ag	Carbon Processing	Sugar utilization	Fructose	
K20107	PTS-Mal-EIIB; PTS system, maltose-specific IIB component		ag	Carbon Processing	Sugar utilization	Maltose	
K20108	PTS-Mal-EIIC; PTS system, maltose-specific IIC component		ag	Carbon Processing	Sugar utilization	Maltose	
K20112	PTS-Gal-EIIA; PTS system, galactose-specific IIA component		ag	Carbon Processing	Sugar utilization	Galactose	
K20113	PTS-Gal-EIIB; PTS system, galactose-specific IIB component		ag	Carbon Processing	Sugar utilization	Galactose	
K20114	PTS-Gal-EIIC; PTS system, galactose-specific IIC component		ag	Carbon Processing	Sugar utilization	Galactose	
K20116	PTS-Glc1-EIIA; PTS system, glucose-specific IIA component		ag	Carbon Processing	Sugar utilization	Glucose	
K20117	PTS-Glc1-EIIB; PTS system, glucose-specific IIB component		ag	Carbon Processing	Sugar utilization	Glucose	
K20118	PTS-Glc1-EIIC; PTS system, glucose-specific IIC component		ag	Carbon Processing	Sugar utilization	Glucose	
K01812	glucuronate isomerase		ag	Carbon Processing	Sugar utilization	Galacturonic Acid	
K00041	tagaturonate reductase		ag	Carbon Processing	Sugar utilization	Galacturonic Acid	
K01685	altronate hydrolase		ag	Carbon Processing	Sugar utilization	Galacturonic Acid	
K16849	altronate dehydratase small subunit		ag	Carbon Processing	Sugar utilization	Galacturonic Acid	
K16850	altronate dehydratase large subunit		ag	Carbon Processing	Sugar utilization	Galacturonic Acid	
K00874	2-dehydro-3-deoxygluconokinase		ag	Carbon Processing	Sugar utilization	Galacturonic Acid	
K01190	beta-galactosidase		ag	Carbon Processing	Sugar utilization	Lactose	
K12111	evolved beta-galactosidase subunit alpha		ag	Carbon Processing	Sugar utilization	Lactose	
K12112	evolved beta-galactosidase subunit beta		ag	Carbon Processing	Sugar utilization	Lactose	
K12309	beta-galactosidase		ag	Carbon Processing	Sugar utilization	Lactose	
K01203	sucrase-isomaltase		ag	Carbon Processing	Sugar utilization	Sucrose	
K12047	maltase-glucoamylase		ag	Carbon Processing	Sugar utilization	Sucrose	
K00690	sucrose phosphorylase		ag	Carbon Processing	Sugar utilization	Sucrose	
K01809	mannose-6-phosphate isomerase		ag	Carbon Processing	Sugar utilization	Mannose	
K14273	D-xylose 1-dehydrogenase (NADP+)		ag	Carbon Processing	Sugar utilization	Xylose	
GH172	difructose-anhydride-I synthase (EC 4.2.1.179 (old 3.2.1.134)); alpha-D-Arabinofuranosidase (EC 3.2.1.-); alpha-D-Fructofuranosidase (EC 3.2.1.-)		ag	Carbon Processing	Sugar utilization	Fructose	
PL42	L-rhamnose-_-1,4-D-glucuronate lyase (EC 4.2.2.-); L-Rh_-_-1,4-GlcA _-L-rhamnohydrolase (EC 3.2.1.-)		ag	Carbon Processing	Sugar utilization	Rhamnose	
CBM88	Binding to terminal galactose in galactoxyloglucan and galactomannan		ag	Carbon Processing	Sugar utilization	Galactose	
K01188	beta-glucosidase [EC:3.2.1.21]	Hydrolysis of terminal β-D-glucosyl residues (from cellulose)	ag	Enzyme Assay Analogs	Hydrolytic Enzymes		
K05349	beta-glucosidase [EC:3.2.1.21]	Hydrolysis of terminal β-D-glucosyl residues (from cellulose)	ag	Enzyme Assay Analogs	Hydrolytic Enzymes		
K05350	beta-glucosidase [EC:3.2.1.21]	Hydrolysis of terminal β-D-glucosyl residues (from cellulose)	ag	Enzyme Assay Analogs	Hydrolytic Enzymes		
K01198	xylan 1,4-beta-xylosidase [EC:3.2.1.37]	Hydrolysis of β-D-xylose residues	ag	Enzyme Assay Analogs	Hydrolytic Enzymes		
K15920	xylan 1,4-beta-xylosidase [EC:3.2.1.37]	Hydrolysis of β-D-xylose residues	ag	Enzyme Assay Analogs	Hydrolytic Enzymes		
K22268	xylan 1,4-beta-xylosidase [EC:3.2.1.37]	Hydrolysis of β-D-xylose residues	ag	Enzyme Assay Analogs	Hydrolytic Enzymes		
K01130	arylsulfatase [EC:3.1.6.1]	Hydrolysis of aromatic sulfate esters	ag	Enzyme Assay Analogs	Hydrolytic Enzymes		
K01227	mannosyl-glycoprotein endo-beta-N-acetylglucosaminidase [EC:3.2.1.96]	Hydrolysis of chitin N-acetyl-β-D-glucosaminide	ag	Enzyme Assay Analogs	Hydrolytic Enzymes		
K13714	bifunctional autolysin [EC:3.2.1.96]	Hydrolysis of chitin N-acetyl-β-D-glucosaminide	ag	Enzyme Assay Analogs	Hydrolytic Enzymes		
K23989	mannosyl-glycoprotein endo-beta-N-acetylglucosaminidase [EC:3.2.1.96]	Hydrolysis of chitin N-acetyl-β-D-glucosaminide	ag	Enzyme Assay Analogs	Hydrolytic Enzymes		
K01078	acid phosphatase [EC:3.1.3.2]	Hydrolysis of phosphate monoesters	ag	Enzyme Assay Analogs	Hydrolytic Enzymes		
K01093	4-phytase / acid phosphatase [EC:3.1.3.2]	Hydrolysis of phosphate monoesters	ag	Enzyme Assay Analogs	Hydrolytic Enzymes		
K03788	acid phosphatase (class B) [EC:3.1.3.2]	Hydrolysis of phosphate monoesters	ag	Enzyme Assay Analogs	Hydrolytic Enzymes		
K09474	acid phosphatase (class A) [EC:3.1.3.2]	Hydrolysis of phosphate monoesters	ag	Enzyme Assay Analogs	Hydrolytic Enzymes		
K14379	tartrate-resistant acid phosphatase type 5 [EC:3.1.3.2]	Hydrolysis of phosphate monoesters	ag	Enzyme Assay Analogs	Hydrolytic Enzymes		
K14394	low molecular weight phosphotyrosine protein phosphatase [EC:3.1.3.2]	Hydrolysis of phosphate monoesters	ag	Enzyme Assay Analogs	Hydrolytic Enzymes		
K14395	lysophosphatidic acid phosphatase type 6 [EC:3.1.3.2]	Hydrolysis of phosphate monoesters	ag	Enzyme Assay Analogs	Hydrolytic Enzymes		
K14410	lysosomal acid phosphatase [EC:3.1.3.2]	Hydrolysis of phosphate monoesters	ag	Enzyme Assay Analogs	Hydrolytic Enzymes		
K19283	prostatic acid phosphatase [EC:3.1.3.2]	Hydrolysis of phosphate monoesters	ag	Enzyme Assay Analogs	Hydrolytic Enzymes		
K19284	testicular acid phosphatase [EC:3.1.3.2]	Hydrolysis of phosphate monoesters	ag	Enzyme Assay Analogs	Hydrolytic Enzymes		
K23458	repressible acid phosphatase [EC:3.1.3.2]	Hydrolysis of phosphate monoesters	ag	Enzyme Assay Analogs	Hydrolytic Enzymes		
K01255	leucyl aminopeptidase [EC:3.4.11.1]	Breakdown of leucine residues at the N-terminus of peptides	ag	Enzyme Assay Analogs	Hydrolytic Enzymes		
K11142	cytosol aminopeptidase [EC:3.4.11.1]	Breakdown of leucine residues at the N-terminus of peptides	ag	Enzyme Assay Analogs	Hydrolytic Enzymes		
K01225	cellulose 1,4-beta-cellobiosidase [EC:3.2.1.91]	Hydrolysis of β-D-glucosyl linkages (from cellulose)	ag	Enzyme Assay Analogs	Hydrolytic Enzymes		
K19668	cellulose 1,4-beta-cellobiosidase [EC:3.2.1.91]	Hydrolysis of β-D-glucosyl linkages (from cellulose)	ag	Enzyme Assay Analogs	Hydrolytic Enzymes		
K01187	alpha-glucosidase [EC:3.2.1.20]	Hydrolysis of α-D-glucosyl linkages (starch, maltose, sucrose)	ag	Enzyme Assay Analogs	Hydrolytic Enzymes		
K12047	maltase-glucoamylase [EC:3.2.1.20]	Hydrolysis of α-D-glucosyl linkages (starch, maltose, sucrose)	ag	Enzyme Assay Analogs	Hydrolytic Enzymes		
K12316	lysosomal alpha-glucosidase [EC:3.2.1.20]	Hydrolysis of α-D-glucosyl linkages (starch, maltose, sucrose)	ag	Enzyme Assay Analogs	Hydrolytic Enzymes		
K12317	neutral alpha-glucosidase C [EC:3.2.1.20]	Hydrolysis of α-D-glucosyl linkages (starch, maltose, sucrose)	ag	Enzyme Assay Analogs	Hydrolytic Enzymes		
K05910	NADH peroxidase [EC:1.11.1.-]	Use of peroxide as electron acceptor to depolymerize lignin	ag	Enzyme Assay Analogs	Oxidative Enzymes		
K00421	laccase [EC:1.10.3.2]	Oxidation of aromatic rings in phenolics	ag	Enzyme Assay Analogs	Oxidative Enzymes		
K05909	laccase [EC:1.10.3.2]	Oxidation of aromatic rings in phenolics	ag	Enzyme Assay Analogs	Oxidative Enzymes		
